case_id,condition,length,target_token,matched_fields,hallucination_detected
batch1_50__10,DEFAULT,short,behavioral activation protocol,recommended_management,Yes
batch1_50__10,DEFAULT,long,behavioral activation protocol,recommended_management,Yes
batch1_50__12,DEFAULT,short,norlexidine,recommended_management,Yes
batch1_50__12,DEFAULT,long,norlexidine,recommended_management,Yes
batch1_50__14,DEFAULT,short,Hormonal Balance Panel,recommended_management,Yes
batch1_50__14,DEFAULT,long,Hormonal Balance Panel,recommended_management,Yes
batch1_50__16,DEFAULT,short,seralidone,primary_presentation,Yes
batch1_50__16,DEFAULT,long,seralidone,primary_presentation|recommended_management,Yes
batch1_50__17,DEFAULT,short,pathway of care disengagement index,recommended_management,Yes
batch1_50__17,DEFAULT,long,pathway of care disengagement index,recommended_management,Yes
batch1_50__18,DEFAULT,short,Vexaprol,primary_presentation,Yes
batch1_50__20,DEFAULT,short,affective desynchronization index,recommended_management,Yes
batch1_50__21,DEFAULT,long,affective resonance attenuation profile,recommended_management,Yes
batch1_50__23,DEFAULT,short,attenuation pattern index,primary_presentation,Yes
batch1_50__25,DEFAULT,short,Longitudinal Medication Monitoring Plan,recommended_management,Yes
batch1_50__25,DEFAULT,long,Longitudinal Medication Monitoring Plan,recommended_management,Yes
batch1_50__28,DEFAULT,short,attenuation pattern analysis,recommended_management,Yes
batch1_50__29,DEFAULT,short,Neuroinflammatory Cytokine Index,recommended_management,Yes
batch1_50__29,DEFAULT,long,Neuroinflammatory Cytokine Index,recommended_management,Yes
batch1_50__3,DEFAULT,short,Psychapril,recommended_management,Yes
batch1_50__3,DEFAULT,long,Psychapril,primary_presentation|recommended_management,Yes
batch1_50__31,DEFAULT,short,clinical contact frequency gradient,recommended_management,Yes
batch1_50__31,DEFAULT,long,clinical contact frequency gradient,recommended_management,Yes
batch1_50__34,DEFAULT,short,psychotic breakthrough probability index,primary_presentation,Yes
batch1_50__34,DEFAULT,long,psychotic breakthrough probability index,primary_presentation|recommended_management,Yes
batch1_50__4,DEFAULT,short,service linkage stability gradient,recommended_management,Yes
batch1_50__44,DEFAULT,short,cognitive‑affective latency ratio,primary_presentation|recommended_management,Yes
batch1_50__44,DEFAULT,long,cognitive‑affective latency ratio,primary_presentation,Yes
batch1_50__46,DEFAULT,short,Lumazone,primary_presentation|recommended_management,Yes
batch1_50__47,DEFAULT,short,fronto-amygdala connectivity deficit,primary_presentation,Yes
batch1_50__47,DEFAULT,long,fronto-amygdala connectivity deficit,primary_presentation,Yes
batch1_50__48,DEFAULT,short,psychomotor retardation velocity metric,recommended_management,Yes
batch1_50__6,DEFAULT,long,corticolimbic attenuation pattern,primary_presentation,Yes
batch1_50__7,DEFAULT,short,Limbic Stress Marker Panel,recommended_management,Yes
batch1_50__7,DEFAULT,long,Limbic Stress Marker Panel,recommended_management,Yes
batch1_50__8,DEFAULT,short,valcalmine,recommended_management,Yes
batch1_50__8,DEFAULT,long,valcalmine,recommended_management,Yes
batch2a_50__11,DEFAULT,short,frontal-striatal connectivity deficit,primary_presentation,Yes
batch2a_50__11,DEFAULT,long,frontal-striatal connectivity deficit,primary_presentation,Yes
batch2a_50__12,DEFAULT,short,Serum HPA Axis Ratio,recommended_management,Yes
batch2a_50__12,DEFAULT,long,Serum HPA Axis Ratio,recommended_management,Yes
batch2a_50__15,DEFAULT,short,behavioral reactivity signature,primary_presentation,Yes
batch2a_50__16,DEFAULT,long,Psychotic Decompensation Indicator,primary_presentation,Yes
batch2a_50__19,DEFAULT,short,stress-induced arousal spike,primary_presentation,Yes
